request_id,node,model,timestamp,latency_ms,confidence,cpu_pct,memory_mb,requests_s
REQ-0038,edge-west,vision-lite,2026-08-20 09:14:00,110.94,0.9343,58.55,707.64,38.9
REQ-0039,edge-east,vision-lite,2026-08-20 09:16:00,90.39,0.9015,58.98,783.88,28.55
REQ-0040,edge-east,fraud-xgb,2026-08-20 09:18:00,31.3,0.7452,40.36,492.56,42.63
REQ-0041,edge-north,text-mini,2026-08-20 09:20:00,111.34,0.6982,66.95,998.86,17.3
REQ-0042,edge-north,vision-lite,2026-08-20 09:22:00,90.47,,55.85,871.0,27.8
REQ-0043,edge-north,fraud-xgb,2026-08-20 09:24:00,46.43,0.7796,25.14,695.87,57.73
REQ-0044,edge-west,text-mini,2026-08-20 09:26:00,125.86,0.7876,61.55,1067.83,22.83
REQ-0045,edge-west,fraud-xgb,2026-08-20 09:28:00,42.75,0.7405,25.55,289.7,50.55
REQ-0046,edge-south,fraud-xgb,2026-08-20 09:30:00,40.9,0.99,27.08,630.51,48.86
REQ-0047,edge-east,fraud-xgb,2026-08-20 09:32:00,42.09,0.8713,56.69,892.12,33.48
REQ-0048,edge-north,text-mini,2026-08-20 09:34:00,137.04,0.9123,56.59,1085.56,23.44
REQ-0049,edge-west,fraud-xgb,2026-08-20 09:36:00,48.63,0.9082,33.26,651.32,68.14
REQ-0050,edge-north,fraud-xgb,2026-08-20 09:38:00,109.9,0.5409,60.33,588.63,25.61
REQ-0051,edge-east,fraud-xgb,2026-08-20 09:40:00,32.35,0.8868,52.63,524.36,49.67
REQ-0052,edge-west,vision-lite,2026-08-20 09:42:00,82.42,0.6899,49.33,909.25,33.84
REQ-0053,edge-east,text-mini,2026-08-20 09:44:00,109.91,0.763,66.56,814.76,22.84
REQ-0054,edge-east,text-mini,2026-08-20 09:46:00,274.08,0.5118,92.27,1176.6,13.49
REQ-0055,edge-east,fraud-xgb,2026-08-20 09:48:00,64.51,0.8024,28.69,496.67,44.23
REQ-0056,edge-north,vision-lite,2026-08-20 09:50:00,182.05,0.8582,96.83,1201.04,18.88
REQ-0057,edge-east,fraud-xgb,2026-08-20 09:52:00,37.95,0.864,46.72,528.12,53.84
REQ-0058,edge-south,text-mini,2026-08-20 09:54:00,135.33,0.99,67.44,1053.25,22.9
REQ-0059,edge-west,fraud-xgb,2026-08-20 09:56:00,77.05,0.4975,46.71,720.64,22.12
REQ-0060,edge-west,vision-lite,2026-08-20 09:58:00,92.77,0.7523,54.48,703.71,40.32
REQ-0061,edge-south,fraud-xgb,2026-08-20 10:00:00,28.19,0.7786,36.16,517.93,54.26
REQ-0062,edge-west,vision-lite,2026-08-20 10:02:00,84.41,0.8276,45.99,895.74,38.48
REQ-0063,edge-west,vision-lite,2026-08-20 10:04:00,74.17,0.88,51.2,729.99,29.56
REQ-0064,edge-south,vision-lite,2026-08-20 10:06:00,119.17,0.7508,51.09,753.74,46.52
REQ-0065,edge-west,text-mini,2026-08-20 10:08:00,115.48,0.7937,63.99,1070.94,18.69
REQ-0066,edge-east,vision-lite,2026-08-20 10:10:00,158.31,0.8915,76.31,1161.82,23.76
REQ-0067,edge-north,text-mini,2026-08-20 10:12:00,96.61,0.9353,64.93,1054.59,29.2
REQ-0068,edge-north,fraud-xgb,2026-08-20 10:14:00,27.5,0.8496,30.83,537.76,46.48
REQ-0069,edge-east,vision-lite,2026-08-20 10:16:00,81.36,0.8775,68.84,714.87,29.59
REQ-0070,edge-north,fraud-xgb,2026-08-20 10:18:00,69.09,0.8502,26.15,407.35,49.31
REQ-0071,edge-north,text-mini,2026-08-20 10:20:00,101.55,0.6695,66.19,1149.05,22.91
REQ-0072,edge-east,vision-lite,2026-08-20 10:22:00,102.08,0.7113,58.59,661.15,44.9
REQ-0073,edge-west,text-mini,2026-08-20 10:24:00,114.4,0.8091,60.48,1205.27,12.53
REQ-0074,edge-west,fraud-xgb,2026-08-20 10:26:00,49.77,0.8685,30.95,746.33,51.25
REQ-0075,edge-south,text-mini,2026-08-20 10:28:00,114.74,0.7061,73.66,938.27,21.31
REQ-0076,edge-west,text-mini,2026-08-20 10:30:00,121.99,0.882,66.81,856.13,25.61
REQ-0077,edge-north,fraud-xgb,2026-08-20 10:32:00,55.79,0.8555,32.97,309.18,44.12
REQ-0078,edge-north,fraud-xgb,2026-08-20 10:34:00,37.77,0.99,36.15,432.18,58.65
REQ-0079,edge-south,text-mini,2026-08-20 10:36:00,130.92,0.8517,65.45,1056.68,25.79
REQ-0080,edge-west,vision-lite,2026-08-20 10:38:00,88.92,0.8819,63.45,749.95,48.04
REQ-0081,edge-east,text-mini,2026-08-20 10:40:00,143.04,0.7855,64.88,988.72,26.47
REQ-0082,edge-south,fraud-xgb,2026-08-20 10:42:00,27.72,0.829,33.51,349.82,47.92
REQ-0083,edge-north,text-mini,2026-08-20 10:44:00,135.93,0.7357,77.18,1100.7,24.28
REQ-0084,edge-north,vision-lite,2026-08-20 10:46:00,102.95,0.7158,65.7,805.14,36.59
REQ-0085,edge-south,fraud-xgb,2026-08-20 10:48:00,51.51,0.8111,32.95,562.43,54.84
REQ-0086,edge-south,vision-lite,2026-08-20 10:50:00,130.16,0.4012,77.49,962.81,24.46
REQ-0087,edge-south,text-mini,2026-08-20 10:52:00,136.42,0.8138,61.42,1103.25,27.05
REQ-0088,edge-south,vision-lite,2026-08-20 10:54:00,106.2,0.9101,57.15,663.04,31.05
REQ-0089,edge-east,fraud-xgb,2026-08-20 10:56:00,113.83,0.4591,52.63,779.05,39.49
REQ-0090,edge-west,text-mini,2026-08-20 10:58:00,137.7,0.8084,67.39,964.68,19.94
REQ-0091,edge-east,fraud-xgb,2026-08-20 11:00:00,51.8,0.7569,31.04,537.57,45.72
REQ-0092,edge-north,fraud-xgb,2026-08-20 11:02:00,54.42,0.7643,23.92,573.96,49.67
REQ-0093,edge-north,text-mini,2026-08-20 11:04:00,127.91,0.9528,83.64,999.35,13.36
REQ-0094,edge-east,vision-lite,2026-08-20 11:06:00,89.34,0.7291,50.92,692.16,43.91
REQ-0095,edge-west,fraud-xgb,2026-08-20 11:08:00,32.69,0.7703,22.73,535.74,50.8
REQ-0096,edge-north,text-mini,2026-08-20 11:10:00,123.73,0.8699,46.77,897.52,16.1
REQ-0097,edge-north,fraud-xgb,2026-08-20 11:12:00,32.23,0.8695,35.14,631.35,54.32
REQ-0098,edge-east,vision-lite,2026-08-20 11:14:00,96.38,0.9093,51.88,815.81,32.84
REQ-0099,edge-east,vision-lite,2026-08-20 11:16:00,152.41,0.5511,61.85,1173.04,20.16
REQ-0100,edge-west,fraud-xgb,2026-08-20 11:18:00,54.55,0.9195,52.44,455.72,56.74
REQ-0101,edge-west,vision-lite,2026-08-20 11:20:00,68.81,0.8266,54.27,725.28,20.04
REQ-0102,edge-east,vision-lite,2026-08-20 11:22:00,105.64,0.8268,62.41,793.28,32.12
REQ-0103,edge-west,text-mini,2026-08-20 11:24:00,116.18,0.8426,62.13,1025.41,25.21
REQ-0104,edge-east,text-mini,2026-08-20 11:26:00,102.8,0.7072,69.44,1171.01,22.01
REQ-0105,edge-north,text-mini,2026-08-20 11:28:00,110.77,0.8402,64.56,1113.79,26.17
REQ-0106,edge-east,vision-lite,2026-08-20 11:30:00,89.6,0.8296,57.29,932.94,27.77
REQ-0107,edge-east,text-mini,2026-08-20 11:32:00,210.76,0.6753,86.3,1248.69,22.67
REQ-0108,edge-north,text-mini,2026-08-20 11:34:00,122.88,0.8706,67.0,1024.87,28.35
REQ-0109,edge-east,fraud-xgb,2026-08-20 11:36:00,42.0,0.8704,30.12,495.28,51.08
REQ-0110,edge-east,vision-lite,2026-08-20 11:38:00,79.07,0.8532,62.03,679.08,36.27
REQ-0111,edge-east,fraud-xgb,2026-08-20 11:40:00,65.23,0.8985,44.69,619.32,48.5
REQ-0112,edge-north,vision-lite,2026-08-20 11:42:00,107.73,0.83,54.31,729.8,36.64
REQ-0113,edge-west,fraud-xgb,2026-08-20 11:44:00,39.51,,33.38,642.65,48.62
REQ-0114,edge-east,vision-lite,2026-08-20 11:46:00,143.28,0.814,94.72,1088.81,22.28
REQ-0115,edge-south,fraud-xgb,2026-08-20 11:48:00,36.87,,29.21,654.89,51.42
REQ-0116,edge-west,fraud-xgb,2026-08-20 11:50:00,43.82,0.8535,40.01,503.42,51.77
REQ-0117,edge-east,fraud-xgb,2026-08-20 11:52:00,40.05,0.748,28.34,620.31,50.18
REQ-0118,edge-north,text-mini,2026-08-20 11:54:00,131.56,0.8196,62.37,1115.67,33.44
REQ-0119,edge-south,text-mini,2026-08-20 11:56:00,121.12,0.8147,56.78,1185.85,38.51
REQ-0120,edge-west,text-mini,2026-08-20 11:58:00,177.86,0.5018,99.0,1371.02,16.87
REQ-0121,edge-north,fraud-xgb,2026-08-20 12:00:00,39.26,0.775,33.4,694.34,46.86
REQ-0122,edge-west,text-mini,2026-08-20 12:02:00,130.69,0.7557,72.74,971.58,16.38
REQ-0123,edge-west,fraud-xgb,2026-08-20 12:04:00,27.08,0.9108,30.39,200.0,58.23
REQ-0124,edge-south,fraud-xgb,2026-08-20 12:06:00,52.21,0.8361,34.64,565.07,48.61
REQ-0125,edge-south,fraud-xgb,2026-08-20 12:08:00,41.29,0.7835,27.3,591.39,49.51
REQ-0126,edge-east,fraud-xgb,2026-08-20 12:10:00,66.63,0.8595,31.37,493.48,53.94
REQ-0127,edge-north,fraud-xgb,2026-08-20 12:12:00,39.15,0.6616,39.52,690.86,52.84
REQ-0128,edge-west,fraud-xgb,2026-08-20 12:14:00,70.57,0.8397,45.09,400.33,56.25
REQ-0129,edge-north,fraud-xgb,2026-08-20 12:16:00,50.36,0.8373,28.94,399.03,51.1
REQ-0130,edge-south,vision-lite,2026-08-20 12:18:00,136.6,0.4941,66.1,1146.47,16.88
REQ-0131,edge-east,vision-lite,2026-08-20 12:20:00,82.55,0.7932,65.56,881.87,34.29
REQ-0132,edge-east,vision-lite,2026-08-20 12:22:00,78.48,0.6744,42.55,856.76,31.4
REQ-0133,edge-north,vision-lite,2026-08-20 12:24:00,118.14,0.6874,55.0,867.46,42.28
REQ-0134,edge-south,text-mini,2026-08-20 12:26:00,102.36,0.8813,52.16,1031.7,28.05
REQ-0135,edge-north,vision-lite,2026-08-20 12:28:00,91.87,0.8071,70.95,699.12,40.06
REQ-0136,edge-north,vision-lite,2026-08-20 12:30:00,98.13,0.8728,53.33,567.81,22.17
REQ-0137,edge-south,vision-lite,2026-08-20 12:32:00,67.98,0.8938,67.4,723.99,26.95
REQ-0138,edge-west,vision-lite,2026-08-20 12:34:00,56.96,0.9331,49.17,911.29,27.62
REQ-0139,edge-north,fraud-xgb,2026-08-20 12:36:00,35.5,0.8029,27.04,610.46,58.7
REQ-0140,edge-east,fraud-xgb,2026-08-20 12:38:00,48.03,0.7788,33.56,512.7,48.66
REQ-0141,edge-west,vision-lite,2026-08-20 12:40:00,95.56,0.9365,48.99,814.8,30.4
REQ-0142,edge-north,text-mini,2026-08-20 12:42:00,122.46,0.6973,78.46,1006.55,30.38
REQ-0143,edge-east,vision-lite,2026-08-20 12:44:00,93.38,0.7798,50.24,537.19,31.38
REQ-0144,edge-north,vision-lite,2026-08-20 12:46:00,96.91,0.6691,54.97,809.79,34.0
REQ-0145,edge-east,text-mini,2026-08-20 12:48:00,125.0,0.811,70.56,952.77,20.08
REQ-0146,edge-north,fraud-xgb,2026-08-20 12:50:00,61.52,0.6802,34.84,528.35,57.55
REQ-0147,edge-south,fraud-xgb,2026-08-20 12:52:00,75.49,0.8154,36.93,563.3,49.37
REQ-0148,edge-north,fraud-xgb,2026-08-20 12:54:00,53.44,0.8336,34.51,428.1,45.52
REQ-0149,edge-north,fraud-xgb,2026-08-20 12:56:00,65.96,0.8509,31.76,466.97,45.43
REQ-0150,edge-east,text-mini,2026-08-20 12:58:00,111.13,0.99,79.06,1025.01,22.02
REQ-0151,edge-east,vision-lite,2026-08-20 13:00:00,128.93,0.8779,52.03,783.64,33.17
REQ-0152,edge-west,vision-lite,2026-08-20 13:02:00,100.1,0.8273,60.94,710.26,30.67
REQ-0153,edge-north,fraud-xgb,2026-08-20 13:04:00,52.73,0.7002,36.4,529.4,51.82
REQ-0154,edge-west,text-mini,2026-08-20 13:06:00,120.38,0.8463,65.09,886.48,23.08
REQ-0155,edge-east,fraud-xgb,2026-08-20 13:08:00,57.95,0.8651,55.73,479.01,49.75
REQ-0156,edge-north,text-mini,2026-08-20 13:10:00,130.85,0.99,60.5,1117.83,26.63
REQ-0157,edge-south,vision-lite,2026-08-20 13:12:00,104.28,0.4625,64.04,946.66,12.59
REQ-0158,edge-east,text-mini,2026-08-20 13:14:00,126.54,0.8919,63.09,1007.95,25.08
REQ-0159,edge-north,fraud-xgb,2026-08-20 13:16:00,61.05,0.6717,37.47,726.13,42.07
REQ-0160,edge-east,text-mini,2026-08-20 13:18:00,129.65,0.8198,58.03,1273.08,31.76
REQ-0161,edge-west,fraud-xgb,2026-08-20 13:20:00,44.71,0.7322,34.92,442.08,54.53
REQ-0162,edge-north,fraud-xgb,2026-08-20 13:22:00,47.26,0.8254,33.19,544.2,47.31
REQ-0163,edge-south,fraud-xgb,2026-08-20 13:24:00,43.11,0.6884,40.6,436.62,48.52
REQ-0164,edge-east,text-mini,2026-08-20 13:26:00,114.09,0.9348,58.49,914.07,20.89
REQ-0165,edge-east,text-mini,2026-08-20 13:28:00,127.26,0.8059,67.64,953.51,18.63
REQ-0166,edge-south,text-mini,2026-08-20 13:30:00,158.4,0.7538,53.62,1003.96,28.35
REQ-0167,edge-north,fraud-xgb,2026-08-20 13:32:00,78.01,0.7283,38.28,507.11,48.22
REQ-0168,edge-north,text-mini,2026-08-20 13:34:00,127.35,0.8311,78.28,1046.53,29.95
REQ-0169,edge-north,text-mini,2026-08-20 13:36:00,125.59,0.99,69.4,926.37,24.59
REQ-0170,edge-east,text-mini,2026-08-20 13:38:00,125.52,0.9198,68.92,921.39,24.41
REQ-0171,edge-south,fraud-xgb,2026-08-20 13:40:00,38.87,0.9788,40.23,388.92,49.77
REQ-0172,edge-east,fraud-xgb,2026-08-20 13:42:00,58.64,0.8211,45.1,660.43,55.87
REQ-0173,edge-south,fraud-xgb,2026-08-20 13:44:00,33.99,0.8313,35.71,544.75,55.05
REQ-0174,edge-south,vision-lite,2026-08-20 13:46:00,116.21,0.812,66.89,898.47,20.41
REQ-0175,edge-north,vision-lite,2026-08-20 13:48:00,79.64,0.9107,50.14,695.64,37.5
REQ-0176,edge-north,fraud-xgb,2026-08-20 13:50:00,63.05,0.863,28.16,512.57,54.48
REQ-0177,edge-north,vision-lite,2026-08-20 13:52:00,95.89,0.8783,56.23,738.38,33.32
REQ-0178,edge-north,text-mini,2026-08-20 13:54:00,126.97,0.7574,65.93,917.75,32.07
REQ-0179,edge-south,vision-lite,2026-08-20 13:56:00,117.03,0.4789,78.62,978.11,19.19
REQ-0180,edge-south,vision-lite,2026-08-20 13:58:00,75.26,0.7052,70.61,766.7,31.93
REQ-0181,edge-north,fraud-xgb,2026-08-20 14:00:00,46.97,0.8768,44.47,324.35,46.85
REQ-0182,edge-south,fraud-xgb,2026-08-20 14:02:00,52.9,0.8922,27.73,544.82,53.17
REQ-0183,edge-east,text-mini,2026-08-20 14:04:00,113.11,0.9773,60.88,1066.1,27.3
REQ-0184,edge-south,text-mini,2026-08-20 14:06:00,115.07,0.9185,69.52,1169.32,27.14
REQ-0185,edge-east,fraud-xgb,2026-08-20 14:08:00,56.98,0.8038,44.85,504.13,41.56
REQ-0186,edge-north,fraud-xgb,2026-08-20 14:10:00,54.37,0.7694,42.35,723.58,24.86
REQ-0187,edge-north,text-mini,2026-08-20 14:12:00,147.66,0.8765,71.35,998.46,23.87
REQ-0188,edge-west,fraud-xgb,2026-08-20 14:14:00,133.26,0.7305,59.98,810.28,26.84
REQ-0189,edge-west,fraud-xgb,2026-08-20 14:16:00,61.13,0.9568,38.93,580.56,61.85
REQ-0190,edge-south,text-mini,2026-08-20 14:18:00,150.64,0.8246,72.01,1040.44,25.86
REQ-0191,edge-south,text-mini,2026-08-20 14:20:00,139.73,0.796,80.5,1127.36,31.11
REQ-0192,edge-north,vision-lite,2026-08-20 14:22:00,99.47,0.8943,54.8,769.36,26.0
REQ-0193,edge-north,text-mini,2026-08-20 14:24:00,105.91,0.7316,53.27,1008.37,26.51
REQ-0194,edge-south,vision-lite,2026-08-20 14:26:00,103.15,0.8851,46.22,596.23,42.68
REQ-0195,edge-south,vision-lite,2026-08-20 14:28:00,99.38,0.9173,68.67,765.05,45.75
REQ-0196,edge-north,fraud-xgb,2026-08-20 14:30:00,64.93,0.4881,52.95,888.64,26.99
REQ-0197,edge-west,vision-lite,2026-08-20 14:32:00,97.92,0.9259,53.6,844.83,30.37
REQ-0198,edge-south,text-mini,2026-08-20 14:34:00,111.01,0.8105,55.53,1045.72,28.67
REQ-0199,edge-north,vision-lite,2026-08-20 14:36:00,92.9,0.8855,53.71,718.23,33.88
REQ-0200,edge-north,text-mini,2026-08-20 14:38:00,117.92,0.8488,64.5,1074.09,20.61
REQ-0201,edge-east,fraud-xgb,2026-08-20 14:40:00,68.79,0.7925,50.59,507.95,57.81
REQ-0202,edge-south,vision-lite,2026-08-20 14:42:00,105.87,0.7843,48.26,773.97,39.47
REQ-0203,edge-east,vision-lite,2026-08-20 14:44:00,112.03,0.7303,54.79,968.68,36.56
REQ-0204,edge-east,fraud-xgb,2026-08-20 14:46:00,43.4,0.8251,27.6,451.85,57.43
REQ-0205,edge-north,vision-lite,2026-08-20 14:48:00,100.17,0.744,46.81,672.65,31.08
REQ-0206,edge-south,fraud-xgb,2026-08-20 14:50:00,62.31,0.9463,38.83,487.66,45.62
REQ-0207,edge-west,vision-lite,2026-08-20 14:52:00,109.24,0.7728,61.8,849.25,35.67
REQ-0208,edge-north,vision-lite,2026-08-20 14:54:00,108.15,0.8795,46.96,855.0,37.86
REQ-0209,edge-south,vision-lite,2026-08-20 14:56:00,92.84,0.8957,42.15,546.35,25.47
REQ-0210,edge-west,vision-lite,2026-08-20 14:58:00,77.57,0.7126,47.13,881.49,36.25
REQ-0211,edge-south,text-mini,2026-08-20 15:00:00,133.96,0.914,72.13,928.91,27.06
REQ-0212,edge-west,fraud-xgb,2026-08-20 15:02:00,43.81,0.7973,34.75,502.83,51.63
REQ-0213,edge-west,text-mini,2026-08-20 15:04:00,112.82,0.8716,49.27,1055.62,18.21
REQ-0214,edge-east,fraud-xgb,2026-08-20 15:06:00,31.36,0.8817,53.75,425.78,49.08
REQ-0215,edge-west,fraud-xgb,2026-08-20 15:08:00,58.11,0.8477,29.36,567.75,53.44
REQ-0216,edge-south,vision-lite,2026-08-20 15:10:00,67.44,0.8629,66.87,623.93,37.38
REQ-0217,edge-east,vision-lite,2026-08-20 15:12:00,108.6,0.9405,51.52,638.92,31.11
REQ-0218,edge-west,vision-lite,2026-08-20 15:14:00,99.1,0.7223,53.15,682.71,39.17
REQ-0219,edge-north,fraud-xgb,2026-08-20 15:16:00,53.54,0.7853,36.68,520.16,57.38
REQ-0220,edge-west,vision-lite,2026-08-20 15:18:00,104.65,0.7308,53.98,666.43,37.84
REQ-0221,edge-north,text-mini,2026-08-20 15:20:00,126.14,0.8876,72.28,933.59,17.22
REQ-0222,edge-south,text-mini,2026-08-20 15:22:00,125.78,0.9248,67.12,1025.77,18.8
REQ-0223,edge-north,vision-lite,2026-08-20 15:24:00,108.82,,60.89,592.02,25.88
REQ-0224,edge-west,fraud-xgb,2026-08-20 15:26:00,42.59,0.7223,36.57,647.83,60.06
REQ-0225,edge-south,vision-lite,2026-08-20 15:28:00,86.55,0.9098,50.15,657.79,29.0
REQ-0226,edge-south,fraud-xgb,2026-08-20 15:30:00,69.05,0.7793,40.57,528.36,45.42
REQ-0227,edge-south,text-mini,2026-08-20 15:32:00,101.58,0.8699,74.24,1102.69,25.83
REQ-0228,edge-east,fraud-xgb,2026-08-20 15:34:00,20.91,0.8007,38.89,324.61,54.8
REQ-0229,edge-north,vision-lite,2026-08-20 15:36:00,83.12,0.8376,69.57,902.48,27.71
REQ-0230,edge-south,fraud-xgb,2026-08-20 15:38:00,41.58,0.8094,44.04,306.03,54.57
REQ-0231,edge-south,fraud-xgb,2026-08-20 15:40:00,45.47,0.99,38.22,505.44,47.14
REQ-0232,edge-north,fraud-xgb,2026-08-20 15:42:00,50.26,0.7563,33.81,608.05,44.67
REQ-0233,edge-south,vision-lite,2026-08-20 15:44:00,106.47,0.7794,69.82,878.76,37.68
REQ-0234,edge-east,fraud-xgb,2026-08-20 15:46:00,54.5,0.7777,37.44,304.56,56.05
REQ-0235,edge-south,vision-lite,2026-08-20 15:48:00,167.45,0.8473,72.24,1077.49,16.15
REQ-0236,edge-north,fraud-xgb,2026-08-20 15:50:00,50.75,0.8186,38.82,670.12,46.83
REQ-0237,edge-west,fraud-xgb,2026-08-20 15:52:00,48.1,0.9054,37.72,568.79,57.02
REQ-0238,edge-north,vision-lite,2026-08-20 15:54:00,80.3,0.9293,40.08,561.29,32.57
REQ-0239,edge-east,fraud-xgb,2026-08-20 15:56:00,62.4,0.6339,25.12,477.54,48.61
REQ-0240,edge-east,fraud-xgb,2026-08-20 15:58:00,64.16,0.8729,38.21,559.27,55.35
