server,timestamp,gpu_utilization,cpu_utilization,memory_gb,power_w,temperature_c
AI-SRV-04,2026-08-24 11:15:00,69.97,39.98,33.58,450.94,80.42
AI-SRV-04,2026-08-24 11:20:00,56.54,71.3,25.42,431.85,72.41
AI-SRV-04,2026-08-24 11:25:00,44.45,65.48,25.85,395.87,73.31
AI-SRV-04,2026-08-24 11:30:00,65.9,29.65,32.56,406.62,80.11
AI-SRV-04,2026-08-24 11:35:00,51.24,46.47,26.04,429.18,71.41
AI-SRV-04,2026-08-24 11:40:00,42.08,38.85,28.78,434.48,74.04
AI-SRV-04,2026-08-24 11:45:00,70.17,38.46,30.61,459.28,79.12
AI-SRV-04,2026-08-24 11:50:00,56.48,37.7,30.4,398.28,74.94
AI-SRV-04,2026-08-24 11:55:00,60.57,32.67,22.22,451.19,76.12
AI-SRV-04,2026-08-24 12:00:00,48.66,52.13,28.28,386.92,69.19
AI-SRV-04,2026-08-24 12:05:00,64.62,73.51,38.87,413.44,74.27
AI-SRV-05,2026-08-24 08:00:00,68.66,42.74,34.26,480.24,78.78
AI-SRV-05,2026-08-24 08:05:00,48.6,46.26,34.32,441.37,86.5
AI-SRV-05,2026-08-24 08:10:00,78.53,53.11,32.68,490.14,77.46
AI-SRV-05,2026-08-24 08:15:00,68.49,41.12,38.41,463.35,74.09
AI-SRV-05,2026-08-24 08:20:00,45.53,47.79,36.57,446.03,73.34
AI-SRV-05,2026-08-24 08:25:00,84.36,61.64,28.81,503.99,76.65
AI-SRV-05,2026-08-24 08:30:00,27.87,62.08,34.9,419.26,67.34
AI-SRV-05,2026-08-24 08:35:00,37.39,57.44,32.75,397.32,74.47
AI-SRV-05,2026-08-24 08:40:00,64.23,42.07,28.14,487.5,78.84
AI-SRV-05,2026-08-24 08:45:00,59.56,47.68,33.65,428.46,72.36
AI-SRV-05,2026-08-24 08:50:00,47.4,50.08,30.93,407.6,73.99
AI-SRV-05,2026-08-24 08:55:00,77.86,64.01,29.56,488.48,80.69
AI-SRV-05,2026-08-24 09:00:00,81.65,46.39,36.58,504.58,81.34
AI-SRV-05,2026-08-24 09:05:00,88.6,56.29,32.78,520.56,82.02
AI-SRV-05,2026-08-24 09:10:00,82.43,40.55,29.9,527.39,78.72
AI-SRV-05,2026-08-24 09:15:00,80.69,34.51,26.14,483.08,79.0
AI-SRV-05,2026-08-24 09:20:00,59.16,55.39,29.55,466.19,77.17
AI-SRV-05,2026-08-24 09:25:00,62.92,72.86,33.44,440.26,74.66
AI-SRV-05,2026-08-24 09:30:00,51.65,42.56,30.5,433.55,73.07
AI-SRV-05,2026-08-24 09:35:00,70.67,41.68,34.15,498.43,81.18
AI-SRV-05,2026-08-24 09:40:00,67.61,56.99,32.92,505.77,75.69
AI-SRV-05,2026-08-24 09:45:00,50.17,56.82,34.19,426.72,74.53
AI-SRV-05,2026-08-24 09:50:00,43.6,61.65,36.69,424.65,68.18
AI-SRV-05,2026-08-24 09:55:00,97.82,45.78,34.25,536.07,84.42
AI-SRV-05,2026-08-24 10:00:00,62.47,86.38,30.47,468.38,76.81
AI-SRV-05,2026-08-24 10:05:00,67.02,53.82,39.29,485.79,81.39
AI-SRV-05,2026-08-24 10:10:00,60.51,50.21,32.8,464.16,76.63
AI-SRV-05,2026-08-24 10:15:00,84.97,60.63,28.08,514.8,79.5
AI-SRV-05,2026-08-24 10:20:00,62.92,69.65,29.51,462.41,72.68
AI-SRV-05,2026-08-24 10:25:00,67.27,64.38,29.21,466.48,71.22
AI-SRV-05,2026-08-24 10:30:00,63.18,52.58,34.66,473.8,73.92
AI-SRV-05,2026-08-24 10:35:00,71.73,49.13,35.28,494.71,75.94
AI-SRV-05,2026-08-24 10:40:00,60.26,59.91,40.74,459.02,77.87
AI-SRV-05,2026-08-24 10:45:00,55.41,59.03,36.86,443.17,74.62
AI-SRV-05,2026-08-24 10:50:00,51.48,38.89,24.68,451.53,76.37
AI-SRV-05,2026-08-24 10:55:00,66.22,58.54,32.1,481.65,78.94
AI-SRV-05,2026-08-24 11:00:00,50.27,41.74,43.02,465.04,73.05
AI-SRV-05,2026-08-24 11:05:00,48.35,54.55,26.43,445.05,71.76
AI-SRV-05,2026-08-24 11:10:00,52.26,28.7,30.13,431.12,75.11
AI-SRV-05,2026-08-24 11:15:00,59.26,56.06,34.61,494.11,76.67
AI-SRV-05,2026-08-24 11:20:00,81.72,65.03,40.84,494.86,82.36
AI-SRV-05,2026-08-24 11:25:00,82.23,74.17,36.17,521.8,75.9
AI-SRV-05,2026-08-24 11:30:00,65.85,44.83,36.95,474.6,76.08
AI-SRV-05,2026-08-24 11:35:00,52.25,43.31,32.54,446.25,78.71
AI-SRV-05,2026-08-24 11:40:00,74.74,40.6,30.78,473.1,78.74
AI-SRV-05,2026-08-24 11:45:00,49.09,36.3,33.53,402.7,74.43
AI-SRV-05,2026-08-24 11:50:00,76.02,64.13,31.98,500.55,83.97
AI-SRV-05,2026-08-24 11:55:00,77.86,70.85,34.13,492.63,80.85
AI-SRV-05,2026-08-24 12:00:00,65.1,57.35,35.89,440.34,79.67
AI-SRV-05,2026-08-24 12:05:00,97.0,93.0,55.0,590.0,82.66
AI-SRV-06,2026-08-24 08:00:00,71.23,64.49,27.54,526.42,76.05
AI-SRV-06,2026-08-24 08:05:00,78.23,47.71,31.67,504.73,81.57
AI-SRV-06,2026-08-24 08:10:00,92.29,47.83,33.29,561.19,83.62
AI-SRV-06,2026-08-24 08:15:00,86.75,52.15,31.64,558.22,86.73
AI-SRV-06,2026-08-24 08:20:00,63.63,72.63,33.24,479.47,81.8
AI-SRV-06,2026-08-24 08:25:00,56.9,42.43,39.39,454.53,79.02
AI-SRV-06,2026-08-24 08:30:00,92.45,50.25,35.87,547.41,88.01
AI-SRV-06,2026-08-24 08:35:00,69.04,57.68,30.06,492.4,75.38
AI-SRV-06,2026-08-24 08:40:00,55.6,52.99,31.47,487.12,78.09
AI-SRV-06,2026-08-24 08:45:00,67.18,56.1,37.61,478.06,82.68
AI-SRV-06,2026-08-24 08:50:00,83.47,58.01,32.53,522.65,83.43
AI-SRV-06,2026-08-24 08:55:00,66.56,56.58,32.96,478.19,84.55
AI-SRV-06,2026-08-24 09:00:00,67.88,55.48,27.4,496.29,79.63
AI-SRV-06,2026-08-24 09:05:00,68.05,53.67,33.45,478.47,84.33
AI-SRV-06,2026-08-24 09:10:00,86.32,58.67,29.52,538.04,80.5
AI-SRV-06,2026-08-24 09:15:00,67.54,50.86,41.5,505.67,79.23
AI-SRV-06,2026-08-24 09:20:00,76.16,44.74,38.43,492.4,82.45
AI-SRV-06,2026-08-24 09:25:00,61.06,49.29,29.37,474.93,78.28
AI-SRV-06,2026-08-24 09:30:00,75.74,66.89,36.05,548.35,86.5
AI-SRV-06,2026-08-24 09:35:00,72.79,58.51,36.73,475.48,82.39
AI-SRV-06,2026-08-24 09:40:00,58.46,65.44,34.08,483.71,79.43
AI-SRV-06,2026-08-24 09:45:00,60.51,40.25,40.4,458.56,76.12
AI-SRV-06,2026-08-24 09:50:00,57.13,59.96,27.85,486.21,75.48
AI-SRV-06,2026-08-24 09:55:00,77.91,64.54,35.03,495.92,86.34
AI-SRV-06,2026-08-24 10:00:00,85.72,61.47,32.57,531.63,82.59
AI-SRV-06,2026-08-24 10:05:00,72.33,62.58,35.92,487.81,79.98
AI-SRV-06,2026-08-24 10:10:00,68.29,51.1,34.77,480.49,82.33
AI-SRV-06,2026-08-24 10:15:00,59.44,56.18,30.77,474.38,79.31
AI-SRV-06,2026-08-24 10:20:00,81.22,45.53,28.8,525.11,81.74
AI-SRV-06,2026-08-24 10:25:00,63.53,62.38,33.0,472.86,79.76
AI-SRV-06,2026-08-24 10:30:00,53.16,65.02,41.6,462.39,77.92
AI-SRV-06,2026-08-24 10:35:00,71.32,55.14,31.84,513.06,81.38
AI-SRV-06,2026-08-24 10:40:00,76.18,54.38,34.64,542.85,80.81
AI-SRV-06,2026-08-24 10:45:00,67.33,37.53,28.45,501.95,83.23
AI-SRV-06,2026-08-24 10:50:00,63.17,57.94,29.92,494.16,78.58
AI-SRV-06,2026-08-24 10:55:00,64.77,48.57,38.32,488.95,77.85
AI-SRV-06,2026-08-24 11:00:00,57.66,64.56,36.71,467.06,78.86
AI-SRV-06,2026-08-24 11:05:00,97.0,93.0,55.0,590.0,77.37
AI-SRV-06,2026-08-24 11:10:00,77.07,67.28,37.09,519.33,84.03
AI-SRV-06,2026-08-24 11:15:00,43.01,40.81,32.1,434.16,76.46
AI-SRV-06,2026-08-24 11:20:00,73.21,60.28,30.56,506.91,80.41
AI-SRV-06,2026-08-24 11:25:00,68.56,65.93,28.96,515.42,77.12
AI-SRV-06,2026-08-24 11:30:00,68.4,37.89,37.85,505.38,80.41
AI-SRV-06,2026-08-24 11:35:00,59.12,70.99,30.96,482.15,83.91
AI-SRV-06,2026-08-24 11:40:00,71.59,49.06,37.66,466.53,79.17
AI-SRV-06,2026-08-24 11:45:00,61.79,71.32,41.25,480.49,80.42
AI-SRV-06,2026-08-24 11:50:00,54.38,53.21,29.33,417.74,78.47
AI-SRV-06,2026-08-24 11:55:00,54.9,64.58,31.37,450.66,75.95
AI-SRV-06,2026-08-24 12:00:00,66.55,52.56,24.41,477.23,82.12
AI-SRV-06,2026-08-24 12:05:00,64.53,55.55,36.08,473.26,77.98
